unit_id,title,status,required,included,package_root,validation_report
hiha_primary,HIHA primary tables and Figure 2,verified,True,True,results/submission_verification/HIHA_DC/2026-08-28-current-r1/hiha_primary/package_staging/hiha_primary,results/submission_verification/HIHA_DC/2026-08-28-current-r1/hiha_primary/package_validation/validation_report.md
hiha_matched_reference,HIHA matched full-reference response and destinations,verified,True,True,results/submission_verification/HIHA_DC/2026-08-28-current-r1/hiha_matched_reference/package_staging/hiha_matched_reference,results/submission_verification/HIHA_DC/2026-08-28-current-r1/hiha_matched_reference/package_validation/validation_report.md
hiha_compatibility_sensitivity,HIHA broad-anchor compatibility sensitivity,verified,True,True,results/submission_verification/HIHA_DC/2026-08-28-current-r1/hiha_compatibility_sensitivity/package_staging/hiha_compatibility_sensitivity,results/submission_verification/HIHA_DC/2026-08-28-current-r1/hiha_compatibility_sensitivity/package_validation/validation_report.md
hiha_matchability_attribution,HIHA mean-matched matchability-penalty attribution,verified,True,True,results/submission_verification/HIHA_DC/2026-08-28-current-r1/hiha_matchability_attribution/package_staging/hiha_matchability_attribution,results/submission_verification/HIHA_DC/2026-08-28-current-r1/hiha_matchability_attribution/package_validation/validation_report.md
hiha_parameter_and_calibration,HIHA query-penalty and calibration sensitivity,verified,True,True,results/submission_verification/HIHA_DC/2026-08-28-current-r1/hiha_parameter_and_calibration/package_staging/hiha_parameter_and_calibration,results/submission_verification/HIHA_DC/2026-08-28-current-r1/hiha_parameter_and_calibration/package_validation/validation_report.md
pbmc_primary,PBMC primary tables and Figure 3,verified,True,True,results/submission_verification/PBMC/2026-08-28-current-r1/pbmc_primary/package_staging/pbmc_primary,results/submission_verification/PBMC/2026-08-28-current-r1/pbmc_primary/package_validation/validation_report.md
pbmc_matched_reference,PBMC matched full-reference response and destinations,verified,True,True,results/submission_verification/PBMC/2026-08-28-current-r1/pbmc_matched_reference/package_staging/pbmc_matched_reference,results/submission_verification/PBMC/2026-08-28-current-r1/pbmc_matched_reference/package_validation/validation_report.md
pbmc_compatibility_sensitivity,PBMC broad-anchor compatibility sensitivity,verified,True,True,results/submission_verification/PBMC/2026-08-28-current-r1/pbmc_compatibility_sensitivity/package_staging/pbmc_compatibility_sensitivity,results/submission_verification/PBMC/2026-08-28-current-r1/pbmc_compatibility_sensitivity/package_validation/validation_report.md
pbmc_matchability_attribution,PBMC mean-matched matchability-penalty attribution,verified,True,True,results/submission_verification/PBMC/2026-08-28-current-r1/pbmc_matchability_attribution/package_staging/pbmc_matchability_attribution,results/submission_verification/PBMC/2026-08-28-current-r1/pbmc_matchability_attribution/package_validation/validation_report.md
pbmc_parameter_and_calibration,PBMC query-penalty and calibration sensitivity,verified,True,True,results/submission_verification/PBMC/2026-08-28-current-r1/pbmc_parameter_and_calibration/package_staging/pbmc_parameter_and_calibration,results/submission_verification/PBMC/2026-08-28-current-r1/pbmc_parameter_and_calibration/package_validation/validation_report.md
pbmc_prior_dependence,PBMC prior-risk dependence diagnostic,verified,True,True,results/submission_verification/PBMC/2026-08-28-current-r1/pbmc_prior_dependence/package_staging/pbmc_prior_dependence,results/submission_verification/PBMC/2026-08-28-current-r1/pbmc_prior_dependence/package_validation/validation_report.md
mouse_spleen_primary,Mouse-spleen primary tables and Figure 4,verified,True,True,results/submission_verification/mouse_spleen_core_ot/2026-08-28-portable-cohort-r7/mouse_spleen_primary/package_staging/mouse_spleen_primary,results/submission_verification/mouse_spleen_core_ot/2026-08-28-portable-cohort-r7/mouse_spleen_primary/validation_report.md
mouse_spleen_compatibility_sensitivity,Mouse-spleen broad-anchor compatibility sensitivity,verified,True,True,results/submission_verification/mouse_spleen_core_ot/2026-08-28-current-supporting-r1/mouse_spleen_compatibility_sensitivity/package_staging/mouse_spleen_compatibility_sensitivity,results/submission_verification/mouse_spleen_core_ot/2026-08-28-current-supporting-r1/mouse_spleen_compatibility_sensitivity/package_validation/validation_report.md
mouse_spleen_matchability_attribution,Mouse-spleen mean-matched matchability-penalty attribution,verified,True,True,results/submission_verification/mouse_spleen_core_ot/2026-08-28-current-supporting-r1/mouse_spleen_matchability_attribution/package_staging/mouse_spleen_matchability_attribution,results/submission_verification/mouse_spleen_core_ot/2026-08-28-current-supporting-r1/mouse_spleen_matchability_attribution/package_validation/validation_report.md
mouse_spleen_parameter_sensitivity,Mouse-spleen query-penalty sensitivity,verified,True,True,results/submission_verification/mouse_spleen_core_ot/2026-08-28-current-supporting-r1/mouse_spleen_parameter_sensitivity/package_staging/mouse_spleen_parameter_sensitivity,results/submission_verification/mouse_spleen_core_ot/2026-08-28-current-supporting-r1/mouse_spleen_parameter_sensitivity/package_validation/validation_report.md
convergence_and_environment,Cross-experiment convergence and software environment audit,verified,True,True,results/submission_verification/convergence_and_environment/2026-08-28-current-r2/package_staging/convergence_and_environment,results/submission_verification/convergence_and_environment/2026-08-28-current-r2/package_validation/validation_report.md
