artifact_id,suite,unit_id,command,regenerated_output,retained_reference,comparison_evidence,criterion
Figure 2,HIHA,hiha_primary,python -m workflows.reproduce --release-root <release> --output-root <new-output> --unit hiha_primary --hiha-source-h5ad <processed-hiha-h5ad>,hiha_primary/docs/figs/manuscript_fig_hiha_main.png,units/hiha_primary/verified_results/figure2/main_figure.png,hiha_primary/comparison/rendered_comparison.csv,rendered comparison pass
Table S5,HIHA,hiha_primary,python -m workflows.reproduce --release-root <release> --output-root <new-output> --unit hiha_primary --hiha-source-h5ad <processed-hiha-h5ad>,hiha_primary/release_artifacts/supplementary_table_s5.md,workflows/references/hiha/supplementary_table_s5.md,hiha_primary/release_artifacts/manifest.yaml,reviewed reference hash and formatter validation
Table S6,HIHA,hiha_primary,python -m workflows.reproduce --release-root <release> --output-root <new-output> --unit hiha_primary --hiha-source-h5ad <processed-hiha-h5ad>,hiha_primary/release_artifacts/supplementary_table_s6.md,workflows/references/hiha/supplementary_table_s6.md,hiha_primary/release_artifacts/manifest.yaml,reviewed reference hash and formatter validation
Table S7,HIHA,hiha_primary,python -m workflows.reproduce --release-root <release> --output-root <new-output> --unit hiha_primary --hiha-source-h5ad <processed-hiha-h5ad>,hiha_primary/release_artifacts/supplementary_table_s7.md,workflows/references/hiha/supplementary_table_s7.md,hiha_primary/release_artifacts/manifest.yaml,reviewed reference hash and formatter validation
Figure S1,HIHA,hiha_matched_reference,python -m workflows.reproduce --release-root <release> --output-root <new-output> --unit hiha_matched_reference --hiha-source-h5ad <processed-hiha-h5ad>,hiha_matched_reference/results/HIHA_DC/supplementary_figure_s1/supplementary_figure_s1_destinations.png,units/hiha_matched_reference/verified_results/supplementary_figure_s1/supplementary_figure_s1_destinations.png,hiha_matched_reference/comparison/rendered_comparison.csv,rendered comparison pass
Figure S2,HIHA,hiha_compatibility_sensitivity,python -m workflows.reproduce --release-root <release> --output-root <new-output> --unit hiha_compatibility_sensitivity,hiha_compatibility_sensitivity/manuscript_fig_hiha_compatibility_sensitivity.png,units/hiha_compatibility_sensitivity/figures/manuscript_fig_hiha_compatibility_sensitivity.png,hiha_compatibility_sensitivity/comparison/rendered_comparison.csv,byte-exact render pass
Figure S3,HIHA,hiha_matchability_attribution,python -m workflows.reproduce --release-root <release> --output-root <new-output> --unit hiha_matchability_attribution,hiha_matchability_attribution/docs/figs/manuscript_supp_rho_attribution_hiha_alpha0.png,units/hiha_matchability_attribution/figures/manuscript_supp_rho_attribution_hiha_alpha0.png,hiha_matchability_attribution/comparison/rendered_comparison.csv,rendered comparison pass
Table S8,HIHA,hiha_parameter_and_calibration,python -m workflows.reproduce --release-root <release> --output-root <new-output> --unit hiha_parameter_and_calibration,hiha_parameter_and_calibration/release_artifacts/supplementary_table_s8.md,workflows/references/hiha/supplementary_table_s8.md,hiha_parameter_and_calibration/release_artifacts/manifest.yaml,reviewed reference hash and formatter validation
Table S9,HIHA,hiha_parameter_and_calibration,python -m workflows.reproduce --release-root <release> --output-root <new-output> --unit hiha_parameter_and_calibration,hiha_parameter_and_calibration/release_artifacts/supplementary_table_s9.md,workflows/references/hiha/supplementary_table_s9.md,hiha_parameter_and_calibration/release_artifacts/manifest.yaml,reviewed reference hash and formatter validation
Figure S4,HIHA,hiha_parameter_and_calibration,python -m workflows.reproduce --release-root <release> --output-root <new-output> --unit hiha_parameter_and_calibration,hiha_parameter_and_calibration/docs/figs/manuscript_fig_hiha_supp_parameter_sensitivity.png,units/hiha_parameter_and_calibration/figures/manuscript_fig_hiha_supp_parameter_sensitivity.png,hiha_parameter_and_calibration/comparison/rendered_comparison.csv,byte-exact render pass
Figure S5,HIHA,hiha_prior_dependence,python -m workflows.reproduce --release-root <release> --output-root <new-output> --unit hiha_prior_dependence --hiha-source-h5ad <processed-hiha-h5ad>,hiha_prior_dependence/results/HIHA_DC/figures/supplementary_figure_s3_prior_dependence.png,units/hiha_prior_dependence/figures/supplementary_figure_s3_prior_dependence.png,hiha_prior_dependence/comparison/rendered_comparison.csv,rendered comparison pass
Figure 3,PBMC,pbmc_primary,python -m workflows.reproduce --release-root <release> --output-root <new-output> --unit pbmc_primary --pbmc-source-h5ad <kang-h5ad>,pbmc_primary/artifacts/verified_results/figure3/figure_3_pbmc_main.png,units/pbmc_primary/verified_results/figure3/figure_3_pbmc_main.png,pbmc_primary/comparison/rendered_comparison.csv,pixel-exact PNG pass
Table S10,PBMC,pbmc_primary,python -m workflows.reproduce --release-root <release> --output-root <new-output> --unit pbmc_primary --pbmc-source-h5ad <kang-h5ad>,pbmc_primary/artifacts/verified_results/current_revalidation/supplement_project/results/PBMC/manuscript/supplement/pbmc_benchmark_summary.csv,units/pbmc_primary/verified_results/current_revalidation/supplement_project/results/PBMC/manuscript/supplement/pbmc_benchmark_summary.csv,pbmc_primary/comparison/numerical_comparison.csv,numerical and categorical pass at absolute tolerance 1e-12
Table S11,PBMC,pbmc_primary,python -m workflows.reproduce --release-root <release> --output-root <new-output> --unit pbmc_primary --pbmc-source-h5ad <kang-h5ad>,pbmc_primary/artifacts/verified_results/current_revalidation/supplement_project/results/PBMC/manuscript/supplement/pbmc_within_celltype_detection_summary.csv,units/pbmc_primary/verified_results/current_revalidation/supplement_project/results/PBMC/manuscript/supplement/pbmc_within_celltype_detection_summary.csv,pbmc_primary/comparison/numerical_comparison.csv,numerical and categorical pass at absolute tolerance 1e-12
Table S12,PBMC,pbmc_primary,python -m workflows.reproduce --release-root <release> --output-root <new-output> --unit pbmc_primary --pbmc-source-h5ad <kang-h5ad>,pbmc_primary/artifacts/verified_results/current_revalidation/supplement_project/results/PBMC/manuscript/supplement/pbmc_global_detection_summary.csv,units/pbmc_primary/verified_results/current_revalidation/supplement_project/results/PBMC/manuscript/supplement/pbmc_global_detection_summary.csv,pbmc_primary/comparison/numerical_comparison.csv,numerical and categorical pass at absolute tolerance 1e-12
Table S13,PBMC,pbmc_primary,python -m workflows.reproduce --release-root <release> --output-root <new-output> --unit pbmc_primary --pbmc-source-h5ad <kang-h5ad>,pbmc_primary/artifacts/verified_results/current_revalidation/supplement_project/results/PBMC/manuscript/supplement/pbmc_represented_transfer_summary.csv,units/pbmc_primary/verified_results/current_revalidation/supplement_project/results/PBMC/manuscript/supplement/pbmc_represented_transfer_summary.csv,pbmc_primary/comparison/numerical_comparison.csv,numerical and categorical pass at absolute tolerance 1e-12
Figure S6,PBMC,pbmc_matched_reference,python -m workflows.reproduce --release-root <release> --output-root <new-output> --unit pbmc_matched_reference --pbmc-source-h5ad <kang-h5ad>,pbmc_matched_reference/artifacts/verified_results/supplement/manuscript_fig_pbmc_supp_mechanistic.png,units/pbmc_matched_reference/verified_results/supplement/manuscript_fig_pbmc_supp_mechanistic.png,pbmc_matched_reference/comparison/rendered_comparison.csv,pixel-exact PNG pass
Figure S7,PBMC,pbmc_compatibility_sensitivity,python -m workflows.reproduce --release-root <release> --output-root <new-output> --unit pbmc_compatibility_sensitivity --pbmc-source-h5ad <kang-h5ad>,pbmc_compatibility_sensitivity/artifacts/verified_results/figures/pbmc_compatibility_sensitivity.png,units/pbmc_compatibility_sensitivity/audits/current_revalidation/comparison/rendered_comparison.csv,pbmc_compatibility_sensitivity/comparison/rendered_comparison.csv,numerical pass with author-approved current-code render difference disclosed and no byte-identity claim
Figure S8,PBMC,pbmc_matchability_attribution,python -m workflows.reproduce --release-root <release> --output-root <new-output> --unit pbmc_matchability_attribution,pbmc_matchability_attribution/docs/figs/manuscript_fig_pbmc_rho_tau_surface_alpha0_range075_175.png,units/pbmc_matchability_attribution/verified_results/current_revalidation/project/docs/figs/manuscript_fig_pbmc_rho_tau_surface_alpha0_range075_175.png,pbmc_matchability_attribution/comparison/rendered_comparison.csv,rendered comparison pass
Table S14,PBMC,pbmc_parameter_and_calibration,python -m workflows.reproduce --release-root <release> --output-root <new-output> --unit pbmc_parameter_and_calibration --pbmc-source-h5ad <kang-h5ad>,pbmc_parameter_and_calibration/artifacts/verified_results/supplement/pbmc_selected_penalties_summary.csv,units/pbmc_parameter_and_calibration/verified_results/supplement/pbmc_selected_penalties_summary.csv,pbmc_parameter_and_calibration/comparison/numerical_comparison.csv,numerical and categorical pass at absolute tolerance 1e-12
Table S15,PBMC,pbmc_parameter_and_calibration,python -m workflows.reproduce --release-root <release> --output-root <new-output> --unit pbmc_parameter_and_calibration --pbmc-source-h5ad <kang-h5ad>,pbmc_parameter_and_calibration/artifacts/verified_results/supplement/pbmc_calibration_percentile_summary.csv,units/pbmc_parameter_and_calibration/verified_results/supplement/pbmc_calibration_percentile_summary.csv,pbmc_parameter_and_calibration/comparison/numerical_comparison.csv,numerical and categorical pass at absolute tolerance 1e-12
Figure S9,PBMC,pbmc_parameter_and_calibration,python -m workflows.reproduce --release-root <release> --output-root <new-output> --unit pbmc_parameter_and_calibration --pbmc-source-h5ad <kang-h5ad>,pbmc_parameter_and_calibration/artifacts/verified_results/figures/manuscript_fig_pbmc_supp_robustness.png,units/pbmc_parameter_and_calibration/verified_results/figures/manuscript_fig_pbmc_supp_robustness.png,pbmc_parameter_and_calibration/comparison/rendered_comparison.csv,pixel-exact PNG pass; S7 calibration render is separately disclosed as a one-color-level CSV-roundtrip limitation
Figure S10,PBMC,pbmc_prior_dependence,python -m workflows.reproduce --release-root <release> --output-root <new-output> --unit pbmc_prior_dependence --pbmc-source-h5ad <kang-h5ad>,pbmc_prior_dependence/artifacts/verified_results/figures/manuscript_fig_pbmc_supp_prior_dependence.png,units/pbmc_prior_dependence/verified_results/figures/manuscript_fig_pbmc_supp_prior_dependence.png,pbmc_prior_dependence/comparison/rendered_comparison.csv,pixel-exact PNG pass
Figure 4,mouse spleen,mouse_spleen_primary,python -m workflows.reproduce --release-root <release> --output-root <new-output> --unit mouse_spleen_primary,mouse_spleen_primary/figures/manuscript_fig_mouse_spleen_main.png,units/mouse_spleen_primary/figures/manuscript_fig_mouse_spleen_main.png,mouse_spleen_primary/comparison/rendered_comparison.csv,byte-exact or normalized render pass
